ID	gram	ungram	label	source
37	Дорогие друзья!	Дорогая друзья!	согл_атр	torfl_A1
38	Летом текущего года эвакуацию машин сделают платной.	Летом года текущего эвакуацию машин сделают платной.	adj_n	RuConst
39	Вчера в «Буквоеде» мы встретились с известным писателем.	Вчера в «Буквоеде» мы встретились известный писатель.	упр_глаг	torfl_B1
40	Я давно мечтаю за новый автомобиль.	Я давно мечтаю о новом автомобиле.	упр_глаг	torfl_A2
41	В 1857 г. Достоевский женится на Марии Исаевой, однако брак оказывается неудачное.	В 1857 г. Достоевский женится на Марии Исаевой, однако брак оказывается неудачным.	упр_глаг	torfl_B2
42	Он не мог вспомнить, задушил ли он Эллу руками или воспользовался веревкой.	Чем он не мог вспомнить, задушил ли он Эллу руками или воспользовался?	ind_q_isl	НКРЯ
43	А ещё важно читать книги потому, что это увеличиваете словарный запас человека, вырабатывает чёткое и ясное мышление.	А ещё важно читать книги потому, что это увеличивает словарный запас человека, вырабатывает чёткое и ясное мышление.	согл_пред_ч	torfl_B2
44	Этот художник показался мне очень талантливо.	Этот художник показался мне очень талантливым.	согл_пред_р	torfl_B2
45	Против кого 22 июня также появилась информация, что аргентинцы выступили после поражения от хорватов (0:3)?	22 июня также появилась информация, что аргентинцы выступили против Сампаоли после поражения от хорватов (0:3).	np_isl	RuConst
46	После окончания университета сестра хочет прописаться на курсы дизайнеров.	После окончания университета сестра хочет записаться на курсы дизайнеров.	лекс_глаг	torfl_B2
47	Задачи в роде тех, которыми мы сейчас занимались, рассматривают вопрос со стороны как бы экономической: при данной затрате сил (например, при прохождении 40-верстного пути) как достигнуть наивыгоднейшего результата (охватить наибольший участок)?	Задачи в роде тех, которыми мы сейчас занимались, рассматривают вопрос со стороны как бы экономической: при данной затрате сил (например, при прохождении 40-верстного пути) как достигнуть наивыгодного результата (охватить наибольший участок)?	SUPER_3	НКРЯ
48	Четыре итальянские туристки получили переохлаждение, пока фотографировались на береге Новосибирского водохранилища.	Четыре итальянские туристки получили переохлаждение, пока фотографировались на берегу Новосибирского водохранилища.	GOV_LOC_1	RuConst
49	Ее похоронили тихо, неприметно и довольно быстро — шла молотьба, и Илья Ефимович дорожил каждым часом.	Ее похоронили тихо, неприметно и довольно быстро — шла молотьба, и Илья Ефимович дорожил.	O_QUIRKY	НКРЯ
50	Ты уже читал повесть, о которой интересуется Борис?	Ты уже читал повесть, которой интересуется Борис?	упр_глаг	torfl_B1
51	На день рождения Ольге подарили 23 тюльпана.	На день рождения Ольге подарили 23 тюльпаны.	числ	torfl_B1
52	По возвращении в Петербург писатель активно участвует в издании журналов «Время», «Эпоха», владельцем которых был его брат.	По возвращении в Петербург писатель активно участвует в издании журналов «Время», «Эпоха», владельца которых был его брат.	коп	torfl_B2
53	Анастасии Васильевны сейчас нет в кабинете, она ушла ненадолго.	Анастасии Васильевны сейчас нет в кабинете, она вышла ненадолго.	лекс_глаг	torfl_B1
54	Что магазины и работают по сокращенному расписанию?	Магазины и банки работают по сокращенному  расписанию.	CoordCon	RuConst
55	Она была не так воспитывалась, чтобы признаться ему в своих чувствах.	Она была не так воспитана, чтобы признаться ему в своих чувствах.	вид	torfl_B2
56	Современная психология среды изучает, как люди реагируют на окружение.	Современная психология среды изучает, так как люди реагируют на окружение.	союз_подч	torfl_С1
57	В первой и второй частях комплекса написали нормы русского художественного текста.	В первой и второй частях комплекса рассматриваются нормы русского художественного текста.	вид	torfl_B2
58	Ваня никогда не съел слив.	Ваня никогда не ел слив.	вид	torfl_C2
59	Когда ты будешь раздумывать, ехать или не ехать, автобус уйдет.	Пока ты будешь раздумывать, ехать или не ехать, автобус уйдет.	союз_подч	torfl_C1
60	Послания содержали ссылку, имитированную видеоролик. 	Послания содержали ссылку, имитирующую видеоролик. 	voice_parta	RuConst
61	После этого он демонстрирует руку, осталась невредимой которая.	После этого он демонстрирует руку, которая осталась невредимой.	wh_rel	RuConst
62	При этом больше одного места жительства успели сменить только 5% респондентов.	При этом больше одного места жительства сменить только 5% респондентов.	NonF_inf	НКРЯ
63	Государство, укрепляемое свою финансовую систему, борется с инфляцией.	Государство, укрепляя свою финансовую систему, борется с инфляцией.	залог	torfl_B2
64	В каком психологическом состоянии они сегодня находятся?	Они сегодня находятся в каком психологическом состоянии?	wh	RuConst
65	Утром мы выходим из общежития и ездим на остановку автобуса.	Утром мы выходим из общежития и идём на остановку автобуса.	лекс_глаг	torfl_B1
66	Когда Пьер приезжает в Москву, он посещал Третьяковскую галерею.	Когда Пьер приезжает в Москву, он посещает Третьяковскую галерею.	время	torfl_B1
67	И Вы пришли сюда лишь за тем, чтобы отомстить.	И Вы пришли сюда лишь за тем, чтобы враги отомстить.	NonF_inf	НКРЯ
68	Голос девушки задрожал от волнения.	Голос девушки задрожал в волнении.	лекс_предл	torfl_B2
69	Скажи, о чём ты любишь пироги?	Скажи, с чем ты любишь пироги?	лекс_предл	torfl_B1
70	Я люблю своих друзей, которых познакомился ещё в детстве.	Я люблю своих друзей, с которыми познакомился ещё в детстве.	упр_глаг	torfl_B1
71	Сестру не оставляет надежда, ли ей всё-таки удастся в этом году поступить в институт.	Сестру не оставляет надежда, что ей всё-таки удастся в этом году поступить в институт.	союз_подч	torfl_C1
72	Наша сторона всецело старается разные страны погасить этот конфликт.	Наша сторона всецело старается погасить этот конфликт.	NonF	RuConst
73	Я умею футболом с детства. Я знаю правила игры и всех футболистов моей любимой команды, но я не умею играть в футбол. Мне кажется, я не умею играть в футбол, потому что там надо очень быстро бегать, а я не могу бегать. Но я умею играть на пианино, и, когда моя любимая команда выигрывает, я могу сыграть их музыку (гимн).	Я интересуюсь футболом с детства. Я знаю правила игры и всех футболистов моей любимой команды, но я не умею играть в футбол. Мне кажется, я не умею играть в футбол, потому что там надо очень быстро бегать, а я не могу бегать. Но я умею играть на пианино, и, когда моя любимая команда выигрывает, я могу сыграть их музыку (гимн).	лекс_глаг	torfl_A1
74	Смогут ли наши победить?	Смогут наши ли победить?	clitics	RuConst
75	Стали задабривать некоторые молодежные союзы, обещая им безбедное существование после прохождения в парламент.	После чего стали задабривать некоторые молодежные союзы, обещая им безбедное существование?	conv_isl	НКРЯ
76	Все отлично — веселая компания, время летит незаметно, ты достаешь зеркало, чтобы поправить макияж губ или глаз, и понимаешь, что… ничего поправлять не надо.	Все отлично — веселая компания, время летит незаметно, ты достаешь зеркало, чтобы подруга поправить макияж губ или глаз, и понимаешь, что… ничего поправлять не надо.	NonF_inf	НКРЯ
77	Вчера мой сосед был здоров, а сегодня он болен . Он плохо себя чувствует, у него высокая температура!	Вчера мой сосед был занят, а сегодня он болен . Он плохо себя чувствует, у него высокая температура!	лекс_прил	torfl_A1
78	Я должен перевезти дочери из Греции сувенир.	Я должен привезти дочери из Греции сувенир.	лекс_глаг	torfl_B1
79	То, что случилось с моим товарищем, было сущей бедой.	То, что случилось с моим товарищем, вот сущая беда.	pscleft_be	RuConst
80	Исходное описание проектов представляется на языке высокого уровня VHDL.	Исходное описание проектов представляться на языке высокого уровня VHDL.	NonF_inf	НКРЯ
81	Ранее рекорд драгоценного стоимости камня принадлежал другому розовому бриллианту Graff Pink весом 24,78 карата.	Ранее рекорд стоимости драгоценного камня принадлежал другому розовому бриллианту Graff Pink весом 24,78 карата.	Non-proj	RuConst
82	По этой линии будет загибаться замыкающая кромка фальцевого шва.	По этой линии загибаться замыкающая кромка фальцевого шва.	NonF_inf	НКРЯ
83	Камвина Нсапу погиб в августе 2016 года в бою с полицией.	Камвина Нсапу погиб в августе 2016 года в бое с полицией.	GOV_LOC_1	RuConst
84	Я умею играть в шахматы. Но сейчас я не могу играть, потому что у меня болит голова.	Я умею играть в шахматы. Но сейчас я не знаю играть, потому что у меня болит голова.	лекс_глаг	torfl_A1
85	Мотор, выработанный изобретателем, оказался чрезвычайно эффективным.	Мотор, разработанный изобретателем, оказался чрезвычайно эффективным.	лекс_глаг	torfl_B2
86	Не надо её любить, ничего страшного не произошло.	Не надо её ругать, ничего страшного не произошло.	лекс_глаг	torfl_B1
87	Мой друг учил играть на гитаре и выучил свои любимые песни.	Мой друг научился играть на гитаре и выучил свои любимые песни.	лекс_глаг	torfl_A2
88	Джон позвонит, успеет ли сделать домашнее задание.	Джон позвонит, если успеет сделать домашнее задание.	союз_подч	torfl_B1
89	Можно не торопиться, мы все равно уже опаздывали бы на электричку.	Можно не торопиться, мы все равно уже опоздали на электричку.	мод	torfl_C1
90	Этот маленький мальчик при очках и портфеле привлёк наше внимание своей необычайной серьёзностью.	Этот маленький мальчик в очках и с портфелем привлёк наше внимание своей необычайной серьёзностью.	лекс_предл	torfl_C1
91	Для реализации этого проекта потребуется содействие федеральной власти.	Для реализации этого проекта будет потребоваться содействие федеральной власти.	FUT_ASP_2	RuConst
92	Мы встречаемся не каждый день, но когда мы встречаемся, можем общаться часами и совсем забыть о времени. 	Мы встреча не каждый день, но когда мы встречаемся, можем общаться часами и совсем забыть о времени. 	чр	torfl_A1
93	Об этом сообщили в воскресенье, 9 августа, в пресс-службе РЖД.	Об этом сообщили в воскресенье, 9 августа, во пресс-службе РЖД.	PREP_VAR	RuConst
94	Покупай компьютер сейчас, пока идёт рекламная акция: по столь низкой цене такую качественную технику ты больше никогда не покупал.	Покупай компьютер сейчас, пока идёт рекламная акция: по столь низкой цене такую качественную технику ты больше никогда не купишь.	вид	torfl_С1
95	Что можно сказать о человеке, у которого нет мечты?	Что можно сказать о человеке, к которому нет мечты?	лекс_предл	torfl_B2
96	Похоже, он не поздравляет ее с праздником.	Похоже, он не поздравил ее с праздником.	время	torfl_A2
97	Антон хочет заниматься новые стихи и выступить на концерте. 	Антон хочет выучить новые стихи и выступить на концерте. 	вид	torfl_A2
98	Политическая партия решила разделиться, зачем пройти в парламент.	Политическая партия решила разделиться, чтобы пройти в парламент.	союз_подч	torfl_B2
99	Завтра я сдаю экзамен. Я хочу получить хорошую оценку.	Завтра я давать экзамен. Я хочу получить хорошую оценку.	лекс_глаг	torfl_A1
100	Пора принимать решение: или … или … ты поступаешь в аспирантуру, или … или … ищешь работу.	Пора принимать решение: и … и … ты поступаешь в аспирантуру, и … и … ищешь работу.	союз_соч	torfl_C1
101	На уроках мы учат фонетику, грамматику.	На уроках мы изучаем фонетику, грамматику.	согл_пред_л	torfl_B1
102	Она работает учителем, поэтому всегда говорит громко, чётко, медленно.	Она работает учителем, поэтому всегда выговаривает громко, чётко, медленно.	лекс_глаг	torfl_C1
103	Завтра Антон пойдёт на выставку.	Завтра Антон ходит на выставку.	время	torfl_A1
104	Вам надо было ехать прямо!	Вам надо было ездить прямо!	лекс_глаг	torfl_B1
105	В этой работе вы всегда можете рассчитывать на поддержку Министерства иностранных дел и других российских структур.	В этой работе вы всегда рассчитывать на поддержку Министерства иностранных дел и других российских структур.	NonF_inf	НКРЯ
106	Даже если ты согласишься с нашими замечаниями, ты всё равно не успеешь исправить все ошибки.	Даже если ты согласишься с нашими замечаниями, ты исправил бы все ошибки.	лекс_глаг	torfl_C1
107	Отец выглядит уставший после рабочего дня.	Отец выглядит уставшим после рабочего дня.	упр_глаг	torfl_C1
108	Спортсмен также занимался популяризацией гольфа: издал несколько книг об этом виде спорта, выступал продюсером в собственном шоу о гольфе.	Спортсмен также занимался популяризацию гольфа: издал несколько книг об этом виде спорта, выступал продюсером в собственном шоу о гольфе.	GOV_QUIRKY_OBJ_1	RuConst
109	Женя написала только 2 задания в контрольной работе и сдала работу.	Женя писала только 2 задания в контрольной работе и сдала работу.	вид	torfl_B1
110	Цель нашего совещания заключается в том, будто выработать план действий в той непростой ситуации, которая сложилась у нас.	Цель нашего совещания заключается в том, чтобы выработать план действий в той непростой ситуации, которая сложилась у нас.	союз_подч	torfl_С1
111	Кошка отбежала из дома 3 дня назад и до сих пор её нет.	Кошка выбежала из дома 3 дня назад и до сих пор её нет.	лекс_глаг	torfl_B1
112	Осенью к нам часто пришла в гости тётя.	Осенью к нам часто приходила в гости тётя.	вид	torfl_B1
113	Когда мы смотрели комедию, мы много смеялись, потому что актёры попадали в смешные ситуации.	Когда мы смотрели комедию, мы много смеёмся, потому что актёры попадали в смешные ситуации.	время	torfl_A1
114	Кого это означало, что отныне будут готовить в государственных высших учебных заведениях, а их подготовка в негосударственных вузах будет оплачиваться из бюджета?	Это означало, что отныне специалистов по этой дисциплине будут готовить в государственных высших учебных заведениях, а их подготовка в негосударственных вузах будет оплачиваться из бюджета.	compl_isl	НКРЯ
115	Сборная России на том турнире заняла четвертое место.	Сборная России на том турнире заняла на четвертое место.	GOV_PREP_2	RuConst
116	В большинстве супермаркетов, например, первый отдел, в который попадают покупатели, - это отдел фруктов и овощей. Может показаться, что он просто удобно расположен, однако это не совсем так.	В большинстве супермаркетов, например, первый отдел, в который попадают покупатели, - это отдел фруктов и овощей. Может показаться, что он просто удобно расположен, как это не совсем так.	союз_подч	torfl_С1
117	В зале так много людей, что за ними почти не видятся столов.	В зале так много людей, что за ними почти не видно столов.	чр	torfl_B2
118	Все плюсы и минусы знаете.	Все плюсы и минусы вы знаете.	pro-drop	RuConst
119	Мы переехали в этот дом 15 лет назад. Даже на улице нас узнают многие соседи.	Мы переехали в этот дом 15 лет назад. Даже на улицы нас узнают многие соседи.	упр_предл	torfl_B1
120	Ей кто-то посоветовал поехать в отпуск в Черногорию.	Ей кто посоветовал поехать в отпуск в Черногорию.	npi	torfl_B2
121	Комитет по строительству провёл вчера очередное заседание.	Комитет при строительстве провёл вчера очередное заседание.	упр_сущ	torfl_C1
122	Моя подруга хорошо говорит по-испански.	Моя подруга хорошая говорит по-испански.	чр	torfl_A1
123	Задача лёгкая и понятна даже самые слабые ученики.	Задача лёгкая и понятна даже самым слабым ученикам.	упр_прил	torfl_B2
124	Войдя в аудиторию, профессор поздоровался собравшимися студентами.	Войдя в аудиторию, профессор поздоровался с собравшимися студентами.	упр_глаг	torfl_B2
125	Он так осчастливленный, получив письмо, что никого и ничего не замечает.	Он так счастлив, получив письмо, что никого и ничего не замечает.	лекс_глаг	torfl_C1
126	Решение об этом в разных случаях принимает либо судебный пристав-исполнитель, либо суд по его заявлению.	Решение об этом в разных случаях принимает либо судебный пристав-исполнитель, суд по его заявлению.	DOUBLE_CONJ	RuConst
127	Сегодня состоится встреча с писателем, с чьими рассказами мы уже успели познакомиться.	Сегодня состоится встреча с писателем, в чьих рассказами мы уже успели познакомиться.	упр_глаг	torfl_B2
128	Вадим уже давно изучает народных традиций.	Вадим уже давно изучает народные традиции.	упр_глаг	torfl_B1
129	Этот человек много путешествовал, он всегда рассказывает интересные истории. 	Этот человек много путешествовал, он всегда разговаривает интересные истории. 	лекс_глаг	torfl_A2
130	Долго собирались с силами.	Мы долго собирались с силами.	pro-drop	RuConst
131	Не буду говорить об остальных актерах, они тоже сыграли хорошо, просто хотелось выделить именно этот ансамбль.	Не буду остальных говорить об актерах, они тоже сыграли хорошо, просто хотелось выделить именно этот ансамбль.	Non-proj	RuConst
132	Самолёт прилетел точно по своему расписанию.	Самолёт прилетел точно своего расписания.	лекс_предл	torfl_B1
133	Чему небольшие булочные, магазинчики, парикмахерские буквально вымываются из центра, уступая место?	Небольшие булочные, магазинчики, парикмахерские буквально вымываются из центра, уступая место дорогим бутикам.	conv_isl	НКРЯ
134	Кто не знаю, хочет ли представить меня как героя или же как преступника?	Не знаю, хочет ли он представить меня как героя или же как преступника.	ind_q_isl	RuConst
135	Отсюда плохо видно, кто написано на доске.	Отсюда плохо видно, что написано на доске.	союз_подч	torfl_B1
136	Я разрешил его тем, что взял ружье и подстрелил ворона.	Я разрешил его тем, что взяв ружье и подстрелил ворона.	NonF_conv	НКРЯ
137	В ходе экспертизы выяснилось, что она страдает шизофренией параноидальной.	В ходе экспертизы выяснилось, что она страдает параноидальной шизофренией.	adj_n	RuConst
138	Студенты получили задание перевести незнакомые слова на родной язык.	Студенты получили запрос перевести незнакомые слова на родной язык.	лекс_сущ	torfl_B2
139	Вода озера Байкала славится своей кристальной чистотой и прозрачностью.	Вода озера Байкал славится своей кристальной чистотой и прозрачностью.	упр_сущ	torfl_C2
140	Посмотри, какой дешёвый свитер! Берём?	Посмотри, какой сложный свитер! Берём?	лекс_прил	torfl_A1
141	Я узнал важные новости от Петра.	Я узнал важные новости с Петра.	лекс_предл	torfl_B1
142	Извини! Я забыл принести тебе твой словарь.	Извини! Я забыл приносил тебе твой словарь.	фин	torfl_B1
143	Вчера Антон пойдёт в гости.	Вчера Антон ходил в гости.	время	torfl_A1
144	У меня болит рука, завтра пойду у хирурга.	У меня болит рука, завтра пойду к хирургу.	лекс_предл	torfl_B1
145	"Сколько в этом году ты посетил страны и
городов?"	"Сколько в этом году ты посетил стран и
городов?"	числ	torfl_A2
146	В связи с тем что мне необходимо длительное лечение, прошу разрешить мне перенести сроки сдачи проекта.	Пока мне необходимо длительное лечение, прошу разрешить мне перенести сроки сдачи проекта.	союз_подч	torfl_C1
147	Американские психологи доказали, насколько пересчет денег (причем не обязательно собственных, лишь бы сумма была побольше) помогает поднять настроение.	Американские психологи доказали, что пересчет денег (причем не обязательно собственных, лишь бы сумма была побольше) помогает поднять настроение.	союз_подч	torfl_С1
148	На расследование причин неудачного пуска, по предварительным данным, потребуется около месяца.	На расследование неудачного причин пуска, по предварительным данным, потребуется около месяца.	Non-proj	RuConst
149	Всё, что Вы написали, противоположно точкой зрения Ваших коллег.	Всё, что Вы написали, противоположно точке зрения Ваших коллег.	упр_прил	torfl_B2
150	Ответственности за хакерскую атаку пока никто не заявлял.	Ответственности за хакерскую атаку пока никто заявлял.	npi	RuConst
151	Эта книга дошла в свет недавно, но уже стала библиографической редкостью.	Эта книга вышла в свет недавно, но уже стала библиографической редкостью.	лекс_глаг	torfl_B2
152	"– Алла, ты идёшь на лекцию?
– Нет. Я себя плохо чувствую, поэтому пойду к поликлинику."	"– Алла, ты идёшь на лекцию?
– Нет. Я себя плохо чувствую, поэтому пойду в поликлинику."	упр_предл	torfl_A1
153	— Смотря что вы хотите облить, — ответил он. — Хотите облить скатерть, наклоняйте от себя, а если хотите облить свою одежду, то к себе.	— Смотря что вы хотите облить, — ответил он. — Хотите облить скатерть, наклоняйте от себя, а как хотите облить свою одежду, то к себе.	союз_подч	torfl_C1
154	Такси будет полностью электрическим и сможет перемещаться на высоте в 300-400 метров.	Такси полностью электрическим и сможет перемещаться на высоте в 300-400 метров.	PRED_CASE_ADJ_1	RuConst
155	Моя подруга сказала, что хочет здесь спеть.	Моя подруга сказала, что хочет здесь поёт.	вид	torfl_A1
